"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -33.09 118.27 (DECIMAL DEGREES), 33 06'S 118 16'E "
" * Elevation: 331 m "
" * Extracted from SILO on 20210618 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20191101   305  19.2  25   7.2  25    0.1  25   4.9  25  16.1   25   9.0  25   40.5   88.7  1/11/2019
20191102   306  22.0  25   8.8  25    0.5  25   2.8  25  22.0   25  10.8  25   40.9   95.4  2/11/2019
20191103   307  23.0  25   6.8  25    0.0  25   3.6  25  21.3   25   9.8  25   34.9   99.2  3/11/2019
20191104   308  29.5  25   9.6  25    0.0  25   6.8  25  28.8   25  11.4  25   27.7   95.4  4/11/2019
20191105   309  27.2  25   7.3  25    0.0  25   7.2  25  28.5   25  13.4  25   37.2  100.0  5/11/2019
20191106   310  25.5  25   7.4  25    0.0  25   6.2  25  27.7   25  10.2  25   31.3   99.1  6/11/2019
20191107   311  27.1  25   7.8  25    0.0  25   5.9  25  19.9   25  11.0  25   30.7  100.0  7/11/2019
20191108   312  27.9  25   9.8  25    0.0  25  10.6  25  27.0   25  11.3  25   30.1   93.3  8/11/2019
20191109   313  36.9  25  10.9  25    0.0  25  10.0  25  22.0   25   8.2  25   13.1   62.9  9/11/2019
20191110   314  33.0  25  18.8  25    0.0  25   7.8  25  20.7   25  10.1  25   20.1   46.6 10/11/2019
20191111   315  24.8  25  11.3  25    0.0  25   7.4  25  26.5   25   9.8  25   31.3   73.2 11/11/2019
20191112   316  25.6  25   8.1  25    0.0  25   8.4  25  25.7   25   9.4  25   28.6   87.1 12/11/2019
20191113   317  33.0  25   9.1  25    0.0  25   7.7  25  26.2   25   9.6  25   19.1   83.1 13/11/2019
20191114   318  37.0  25  12.0  25    0.0  25   9.6  25  30.2   25   9.1  25   14.5   64.9 14/11/2019
20191115   319  33.7  25  12.5  25    0.0  25  10.2  25  29.8   25  13.1  25   25.0   90.4 15/11/2019
20191116   320  40.4  25  13.3  25    0.0  25   9.6  25  30.1   25  12.0  25   15.9   78.6 16/11/2019
20191117   321  41.5  25  16.0  25    0.0  25  10.0  25  26.9   25  10.7  25   13.4   58.9 17/11/2019
20191118   322  33.0  25  12.9  25    0.0  25   8.8  25  27.5   25  13.1  25   26.0   88.1 18/11/2019
20191119   323  30.8  25  13.2  25    0.0  25   7.4  25  16.9   25  14.4  25   32.4   95.0 19/11/2019
20191120   324  20.0  25  11.3  25    0.0  25   7.3  25  21.0   25   9.5  25   40.6   71.0 20/11/2019
20191121   325  25.4  25   5.1  25    0.0  25   4.4  25  29.4   25   8.4  25   25.9   95.7 21/11/2019
20191122   326  26.5  25  12.0  25    0.0  25   6.1  25  19.6   25  11.7  25   33.8   83.5 22/11/2019
20191123   327  30.2  25  13.3  25    0.0  25   7.5  25  31.2   25  12.1  25   28.2   79.3 23/11/2019
20191124   328  29.2  25  11.7  25    0.0  25   7.3  25  24.7   25   8.8  25   21.7   64.0 24/11/2019
20191125   329  26.5  25  12.7  25    0.0  25   8.9  25  25.2   25  10.0  25   28.9   68.1 25/11/2019
20191126   330  31.4  25   7.8  25    0.0  25   7.1  25  29.3   25  10.3  25   22.4   97.4 26/11/2019
20191127   331  29.3  25  11.7  25    0.0  25   7.6  25  24.8   25  12.1  25   29.7   88.1 27/11/2019
20191128   332  24.1  25  11.2  25    0.0  25   7.7  25  22.9   25  10.3  25   34.3   77.5 28/11/2019
20191129   333  22.1  25   9.3  25    0.0  25   7.6  25  23.4   25  10.6  25   39.9   90.5 29/11/2019
20191130   334  24.5  25  11.0  25    0.0  25   9.5  25  24.9   25   9.1  25   29.6   69.4 30/11/2019
20191201   335  30.2  25   7.5  25    0.0  25   8.4  25  21.4   25  10.2  25   23.8   98.4  1/12/2019
20191202   336  32.4  25  12.9  25    0.0  25  16.6  25  24.4   25  14.8  25   30.4   99.5  2/12/2019
20191203   337  38.6  25  13.5  25    0.9  25   9.9  25  30.1   25  12.3  25   18.0   79.5  3/12/2019
20191204   338  39.2  25  20.8  25    0.0  25  10.1  25  28.2   25  12.7  25   18.0   51.7  4/12/2019
20191205   339  35.3  25  13.1  25    0.0  25  10.0  25  31.1   25  14.8  25   25.9   98.2  5/12/2019
20191206   340  40.5  25  13.6  25    0.0  25   9.2  25  22.2   25  12.4  25   16.4   79.7  6/12/2019
20191207   341  34.0  25  19.7  25    0.0  25   9.9  25  21.0   25   8.9  25   16.7   38.8  7/12/2019
20191208   342  26.0  25  13.1  25    0.0  25   7.0  25  23.3   25  11.0  25   32.7   73.0  8/12/2019
20191209   343  29.2  25   9.8  25    0.0  25   9.5  25  28.7   25  10.9  25   26.9   90.0  9/12/2019
20191210   344  31.3  25  10.6  25    0.0  25   9.2  25  31.2   25  11.9  25   26.0   93.2 10/12/2019
20191211   345  31.8  25  12.3  25    0.0  25   7.7  25  29.1   25  11.1  25   23.6   77.6 11/12/2019
20191212   346  35.2  25  13.2  25    0.0  25  11.1  25  30.6   25  10.9  25   19.2   71.9 12/12/2019
20191213   347  37.6  25  14.4  25    0.0  25  10.6  25  30.6   25   8.9  25   13.7   54.3 13/12/2019
20191214   348  40.7  25  16.9  25    0.0  25  18.5  25  32.3   25   9.4  25   12.3   48.8 14/12/2019
20191215   349  42.2  25  17.2  25    0.0  25  11.0  25  30.2   25   7.7  25    9.3   39.3 15/12/2019
20191216   350  38.5  25  17.7  25    0.0  25  10.3  25  28.2   25  10.2  25   15.0   50.4 16/12/2019
20191217   351  38.2  25  16.6  25    0.0  25  11.5  25  30.1   25  15.5  25   23.1   82.1 17/12/2019
20191218   352  40.3  25  16.1  25    0.0  25  10.5  25  32.0   25  16.0  25   21.3   87.5 18/12/2019
20191219   353  31.1  25  18.5  25    0.0  25   9.0  25  17.1   25  14.7  25   32.5   69.1 19/12/2019
20191220   354  28.2  25  12.8  25    0.0  25   7.6  25  20.0   25  12.3  25   32.2   83.3 20/12/2019
20191221   355  37.5  25  14.3  25    0.0  25   9.4  25  25.6   25  12.4  25   19.2   76.1 21/12/2019
20191222   356  30.2  25  17.4  25    0.0  25   7.9  25  20.7   25  17.3  25   40.3   87.1 22/12/2019
20191223   357  33.5  25  15.9  25    0.0  25   7.8  25  28.1   25  15.6  25   30.2   86.4 23/12/2019
20191224   358  34.4  25  14.9  25    0.0  25  10.0  25  26.2   25  14.7  25   27.0   86.8 24/12/2019
20191225   359  36.9  25  15.2  25    0.0  25  10.1  25  23.6   25  10.2  25   16.3   59.1 25/12/2019
20191226   360  41.5  25  18.8  25    0.0  25   7.0  25  28.2   25  18.6  25   23.3   85.8 26/12/2019
20191227   361  33.5  25  17.8  25    0.0  25   9.8  25  29.9   25  14.2  25   27.4   69.7 27/12/2019
20191228   362  34.6  25  14.2  25    0.0  25   8.5  25  33.0   25  13.9  25   25.3   85.9 28/12/2019
20191229   363  33.2  25  14.2  25    0.0  25   9.7  25  28.1   25  14.7  25   28.9   90.8 29/12/2019
20191230   364  26.2  25  12.4  25    0.0  25   9.2  25  27.4   25   9.2  25   27.1   63.9 30/12/2019
20191231   365  31.1  25  10.9  25    0.0  25   9.1  25  32.0   25  11.1  25   24.6   85.2 31/12/2019
20200101     1  35.4  25  14.5  25    0.0  25   9.5  25  30.4   25  12.3  25   21.4   74.5  1/01/2020
20200102     2  29.1  25  15.6  25    0.0  25  10.3  25  20.8   25  14.3  25   35.5   80.7  2/01/2020
20200103     3  21.7  25  11.8  25    0.0  25   7.1  25  23.6   25   8.3  25   32.0   60.0  3/01/2020
20200104     4  25.5  25   6.5  25    0.0  25   7.8  25  28.0   25   8.0  25   24.5   82.7  4/01/2020
20200105     5  34.4  25  11.6  25    0.0  25   9.9  25  32.5   25   8.7  25   16.0   63.7  5/01/2020
20200106     6  37.6  25  13.5  25    0.0  25  10.8  25  32.6   25   9.7  25   15.0   62.7  6/01/2020
20200107     7  39.3  25  14.6  25    0.0  25  10.7  25  32.0   25  16.5  25   23.2   99.3  7/01/2020
20200108     8  35.7  25  16.4  25    0.0  25  10.1  25  30.6   25  12.5  25   21.4   67.1  8/01/2020
20200109     9  28.7  25  14.4  25    0.0  25   9.2  25  15.6   25  13.4  25   34.0   81.7  9/01/2020
20200110    10  27.1  25  11.3  25    0.0  25  10.1  25  28.4   25  10.8  25   30.1   80.7 10/01/2020
20200111    11  32.9  25  12.8  25    0.0  25   8.5  25  27.2   25  12.1  25   24.2   81.9 11/01/2020
20200112    12  37.9  25  16.0  25    0.0  25  11.6  25  25.4   25  13.1  25   19.9   72.1 12/01/2020
20200113    13  30.6  25  15.2  25    0.0  25   9.9  25  26.6   25  13.8  25   31.4   79.9 13/01/2020
20200114    14  33.0  25  15.8  25    0.0  25   7.5  25  29.1   25  19.8  25   39.4  100.0 14/01/2020
20200115    15  25.8  25  15.8  25    0.0  25   6.4  25  13.5   25  14.9  25   44.9   83.1 15/01/2020
20200116    16  32.2  25  16.5  25    0.0  25   7.6  25  20.2   25  17.4  25   36.2   92.8 16/01/2020
